symbol,market,period_end,asof_ts,revenue,operating_income,net_income,free_cash_flow,total_assets,total_equity,total_debt,shares_out,eps,source
BMY,us,2008-06-30,2009-07-23T00:00:00,,,1425000000.0,1429000000.0,,,,,0.71,sec_edgar:companyfacts
BMY,us,2008-09-30,2009-10-22T00:00:00,,,4003000000.0,2655000000.0,,,,,2.0,sec_edgar:companyfacts
BMY,us,2008-12-31,2010-02-19T00:00:00,,,5247000000.0,2766000000.0,,12241000000.0,154000000.0,,2.62,sec_edgar:companyfacts
BMY,us,2009-03-31,2010-04-29T00:00:00,,,638000000.0,251000000.0,,,,,0.32,sec_edgar:companyfacts
BMY,us,2009-06-30,2009-07-23T00:00:00,,,1621000000.0,883000000.0,,14096000000.0,124000000.0,1980924717.0,0.81,sec_edgar:companyfacts
BMY,us,2009-09-30,2009-10-22T00:00:00,,,2587000000.0,2187000000.0,,14518000000.0,286000000.0,1980980141.0,1.3,sec_edgar:companyfacts
BMY,us,2009-12-31,2010-02-19T00:00:00,,,10612000000.0,3335000000.0,,14843000000.0,231000000.0,,5.34,sec_edgar:companyfacts
BMY,us,2010-03-31,2010-04-29T00:00:00,,,743000000.0,335000000.0,,15249000000.0,208000000.0,1719674383.0,0.43,sec_edgar:companyfacts
BMY,us,2010-06-30,2010-07-22T00:00:00,,,1670000000.0,1303000000.0,,15668000000.0,290000000.0,1714842193.0,0.96,sec_edgar:companyfacts
BMY,us,2010-09-30,2010-10-26T00:00:00,,,2619000000.0,2597000000.0,,15970000000.0,243000000.0,1711685361.0,1.51,sec_edgar:companyfacts
BMY,us,2010-12-31,2011-02-18T00:00:00,,,3102000000.0,4067000000.0,,15713000000.0,117000000.0,,1.79,sec_edgar:companyfacts
BMY,us,2011-03-31,2011-04-28T00:00:00,,,986000000.0,406000000.0,,15998000000.0,5411000000.0,1705988458.0,0.57,sec_edgar:companyfacts
BMY,us,2011-06-30,2011-07-28T00:00:00,,,1888000000.0,1425000000.0,,16353000000.0,5519000000.0,1705666684.0,1.1,sec_edgar:companyfacts
BMY,us,2011-09-30,2011-10-27T00:00:00,,,2857000000.0,3039000000.0,,16572000000.0,5619000000.0,1694531520.0,1.66,sec_edgar:companyfacts
BMY,us,2011-12-31,2012-02-17T00:00:00,,,3709000000.0,4473000000.0,,15956000000.0,5491000000.0,,2.16,sec_edgar:companyfacts
BMY,us,2012-03-31,2012-04-26T00:00:00,,,1101000000.0,264000000.0,,16337000000.0,5415000000.0,1689084439.0,0.64,sec_edgar:companyfacts
BMY,us,2012-06-30,2012-07-25T00:00:00,,,1746000000.0,1285000000.0,,16098000000.0,5445000000.0,1679022076.0,1.02,sec_edgar:companyfacts
BMY,us,2012-09-30,2012-10-24T00:00:00,,,1035000000.0,5732000000.0,,13900000000.0,7978000000.0,1650688859.0,0.61,sec_edgar:companyfacts
BMY,us,2012-12-31,2013-02-15T00:00:00,,,1960000000.0,6393000000.0,,13623000000.0,8058000000.0,,1.16,sec_edgar:companyfacts
BMY,us,2013-03-31,2013-04-25T00:00:00,,,609000000.0,-543000000.0,,13659000000.0,8552000000.0,1642551939.0,0.37,sec_edgar:companyfacts
BMY,us,2013-06-30,2013-07-25T00:00:00,,,1145000000.0,869000000.0,,14371000000.0,7886000000.0,1646323647.0,0.69,sec_edgar:companyfacts
BMY,us,2013-09-30,2013-10-23T00:00:00,,,1837000000.0,1798000000.0,,14726000000.0,7242000000.0,1646542902.0,1.11,sec_edgar:companyfacts
BMY,us,2013-12-31,2014-02-14T00:00:00,,,2563000000.0,3008000000.0,,15154000000.0,8340000000.0,,1.54,sec_edgar:companyfacts
BMY,us,2014-03-31,2014-04-29T00:00:00,,,937000000.0,499000000.0,,15473000000.0,7648000000.0,1657176162.0,0.56,sec_edgar:companyfacts
BMY,us,2014-06-30,2014-07-24T00:00:00,,,1270000000.0,1445000000.0,,15327000000.0,7737000000.0,1657904666.0,0.76,sec_edgar:companyfacts
BMY,us,2014-09-30,2014-10-24T00:00:00,,,1991000000.0,2241000000.0,,15143000000.0,7668000000.0,1658776491.0,1.19,sec_edgar:companyfacts
BMY,us,2014-12-31,2015-02-13T00:00:00,,,2004000000.0,2622000000.0,,14852000000.0,590000000.0,,1.2,sec_edgar:companyfacts
BMY,us,2015-03-31,2015-04-28T00:00:00,,,1186000000.0,490000000.0,,15546000000.0,330000000.0,1666974545.0,0.71,sec_edgar:companyfacts
BMY,us,2015-06-30,2015-07-23T00:00:00,,,1056000000.0,396000000.0,,15123000000.0,755000000.0,1667502766.0,0.63,sec_edgar:companyfacts
